domain,tags,accounts,workspace_id,workspace_name,ESP,reply_rate
grayfalkonsthirdparty.com,['Outlook'],113,15,Gray Falkon,Microsoft,0.0
grayfalkonenforce.com,['Outlook'],99,15,Gray Falkon,Microsoft,0.029333333333333333
grayfalkonautomate.com,['Outlook'],99,15,Gray Falkon,Microsoft,0.0
grayfalkonmarkets.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.03671328671328671
grayfalkoneliminate.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.03136762860727729
grayfalkoncleanse.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.0528714676390155
grayfalkonobserve.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.028506271379703536
grayfalkonsmarket.com,"['ScaleSends', 'Outlook']",96,15,Gray Falkon,Microsoft,0.05505761843790013
grayfalkonprotective.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.0535931790499391
grayfalkonshielding.com,"['ScaleSends', 'Outlook']",99,15,Gray Falkon,Microsoft,0.026859504132231406
grayfalkonremedy.com,"['ScaleSends', 'Outlook']",100,15,Gray Falkon,Microsoft,0.1
grayfalkoneject.com,"['ScaleSends', 'Outlook']",99,15,Gray Falkon,Microsoft,0.044413919413919416
